#StartTime,EndTime,PercentOfDayVolume,BucketType
12:42:00,12:43:00,0.00000000000,Continuous
12:43:00,12:44:00,0.00000000000,Continuous
12:44:00,12:45:00,0.00000000000,Continuous
12:45:00,12:46:00,0.00000000000,Continuous
12:46:00,12:47:00,0.00000000000,Continuous
12:47:00,12:48:00,0.00000000000,Continuous
12:48:00,12:49:00,0.00000000000,Continuous
12:49:00,12:50:00,0.00000000000,Continuous
12:50:00,12:51:00,0.00000000000,Continuous
12:51:00,12:52:00,0.00000000000,Continuous
12:52:00,12:53:00,0.00000000000,Continuous
12:53:00,12:54:00,0.00000000000,Continuous
12:54:00,12:55:00,0.00000000000,Continuous
12:55:00,12:56:00,0.00000000000,Continuous
12:56:00,12:57:00,0.00000000000,Continuous
12:57:00,12:58:00,0.00000000000,Continuous
12:58:00,12:59:00,0.00000000000,Continuous
12:59:00,13:00:00,0.68257086570,Continuous
13:00:00,13:01:00,0.21185129991,Continuous
13:01:00,13:02:00,0.16607162251,Continuous
13:02:00,13:03:00,0.19521664236,Continuous
13:03:00,13:04:00,0.26505470878,Continuous
13:04:00,13:05:00,0.15383621324,Continuous
13:05:00,13:06:00,0.04220528817,Continuous
13:06:00,13:07:00,0.22683623936,Continuous
13:07:00,13:08:00,0.27096619865,Continuous
13:08:00,13:09:00,0.42590222396,Continuous
13:09:00,13:10:00,0.13307726042,Continuous
13:10:00,13:11:00,0.07011301944,Continuous
13:11:00,13:12:00,0.29914888293,Continuous
13:12:00,13:13:00,0.19604150141,Continuous
13:13:00,13:14:00,0.26945395706,Continuous
13:14:00,13:15:00,0.10077028088,Continuous
13:15:00,13:16:00,0.13568931409,Continuous
13:16:00,13:17:00,0.16895862919,Continuous
13:17:00,13:18:00,0.22504904474,Continuous
13:18:00,13:19:00,0.35606415754,Continuous
13:19:00,13:20:00,0.29461215815,Continuous
13:20:00,13:21:00,0.34905285559,Continuous
13:21:00,13:22:00,0.26904152753,Continuous
13:22:00,13:23:00,0.14160080396,Continuous
13:23:00,13:24:00,0.74443529462,Continuous
13:24:00,13:25:00,0.39510748601,Continuous
13:25:00,13:26:00,0.05499060348,Continuous
13:26:00,13:27:00,0.05210359680,Continuous
13:27:00,13:28:00,0.24732023915,Continuous
13:28:00,13:29:00,0.12606595848,Continuous
13:29:00,13:30:00,0.15383621324,Continuous
13:30:00,13:31:00,0.05196612029,Continuous
13:31:00,13:32:00,0.08069871061,Continuous
13:32:00,13:33:00,0.10283242851,Continuous
13:33:00,13:34:00,0.06241433495,Continuous
13:34:00,13:35:00,0.13362716646,Continuous
13:35:00,13:36:00,0.12634091150,Continuous
13:36:00,13:37:00,0.08111114013,Continuous
13:37:00,13:38:00,0.07987385156,Continuous
13:38:00,13:39:00,0.31605849350,Continuous
13:39:00,13:40:00,0.11561774382,Continuous
13:40:00,13:41:00,0.14311304556,Continuous
13:41:00,13:42:00,0.09210926083,Continuous
13:42:00,13:43:00,0.19260458869,Continuous
13:43:00,13:44:00,0.09210926083,Continuous
13:44:00,13:45:00,0.24773266868,Continuous
13:45:00,13:46:00,0.36005097629,Continuous
13:46:00,13:47:00,0.07629946233,Continuous
13:47:00,13:48:00,0.17596993114,Continuous
13:48:00,13:49:00,0.04976649615,Continuous
13:49:00,13:50:00,0.26945395706,Continuous
13:50:00,13:51:00,0.05196612029,Continuous
13:51:00,13:52:00,0.04894163710,Continuous
13:52:00,13:53:00,0.18889272296,Continuous
13:53:00,13:54:00,0.34272893619,Continuous
13:54:00,13:55:00,0.13307726042,Continuous
13:55:00,13:56:00,0.28045207775,Continuous
13:56:00,13:57:00,0.04399248278,Continuous
13:57:00,13:58:00,0.30547280233,Continuous
13:58:00,13:59:00,0.15548593134,Continuous
13:59:00,14:00:00,0.10846896537,Continuous
14:00:00,14:01:00,0.07561207979,Continuous
14:01:00,14:02:00,0.08097366363,Continuous
14:02:00,14:03:00,0.17294544795,Continuous
14:03:00,14:04:00,0.08949720716,Continuous
14:04:00,14:05:00,0.13637669663,Continuous
14:05:00,14:06:00,0.31207167475,Continuous
14:06:00,14:07:00,0.14283809254,Continuous
14:07:00,14:08:00,0.22298689711,Continuous
14:08:00,14:09:00,0.12166671020,Continuous
14:09:00,14:10:00,0.08358571729,Continuous
14:10:00,14:11:00,0.87833741409,Continuous
14:11:00,14:12:00,0.18889272296,Continuous
14:12:00,14:13:00,0.07698684487,Continuous
14:13:00,14:14:00,0.14242566301,Continuous
14:14:00,14:15:00,0.19906598460,Continuous
14:15:00,14:16:00,0.17418273652,Continuous
14:16:00,14:17:00,0.10503205265,Continuous
14:17:00,14:18:00,1.41999485838,Continuous
14:18:00,14:19:00,0.56667816887,Continuous
14:19:00,14:20:00,0.04344257675,Continuous
